dname_drug1,chembl_id_drug1,dname_drug2,chembl_id_drug2,cell_line_name,NCI_thesaurus_code,disease_cui
hydroxyurea,CHEMBL467,allopurinol,CHEMBL1467,HT29,C4349,C0338106
temozolomide,CHEMBL810,methoxsalen,CHEMBL416,MCF7,C4194,C1134719
7-Ethyl-10-hydroxycamptothecin,CHEMBL837,Dasatinib,CHEMBL1421,MCF7,C4194,C1134719
celecoxib,CHEMBL118,hydroxyurea,CHEMBL467,MCF7,C4194,C1134719
hydroxyurea,CHEMBL467,Pralatrexate,CHEMBL1201746,MCF7,C4194,C1134719
Pralatrexate,CHEMBL1201746,allopurinol,CHEMBL1467,HT29,C4349,C0338106
anastrozole,CHEMBL1399,Ixabepilone,CHEMBL1201752,HT29,C4349,C0338106
Romidepsin,CHEMBL343448,hydroxyurea,CHEMBL467,HT29,C4349,C0338106
6-Mercaptopurine,CHEMBL1425,Ixabepilone,CHEMBL1201752,MCF7,C4194,C1134719
hydroxyurea,CHEMBL467,Bortezomib,CHEMBL325041,MCF7,C4194,C1134719
Romidepsin,CHEMBL343448,Pralatrexate,CHEMBL1201746,MCF7,C4194,C1134719
7-Ethyl-10-hydroxycamptothecin,CHEMBL837,Sunitinib,CHEMBL535,HT29,C4349,C0338106
raloxifene,CHEMBL81,Lenalidomide,CHEMBL848,HT29,C4349,C0338106
6-Mercaptopurine,CHEMBL1425,methoxsalen,CHEMBL416,MCF7,C4194,C1134719
raloxifene,CHEMBL81,Romidepsin,CHEMBL343448,MCF7,C4194,C1134719
celecoxib,CHEMBL118,anastrozole,CHEMBL1399,MCF7,C4194,C1134719
raloxifene,CHEMBL81,Lapatinib,CHEMBL554,MCF7,C4194,C1134719
Sunitinib,CHEMBL535,ifosfamide,CHEMBL1024,MCF7,C4194,C1134719
Sunitinib,CHEMBL535,Bortezomib,CHEMBL325041,MCF7,C4194,C1134719
Imatinib,CHEMBL941,Pralatrexate,CHEMBL1201746,MCF7,C4194,C1134719
hydroxyurea,CHEMBL467,methoxsalen,CHEMBL416,MCF7,C4194,C1134719
IMIQUIMOD,CHEMBL1282,Ixabepilone,CHEMBL1201752,MCF7,C4194,C1134719
Sunitinib,CHEMBL535,busulfan,CHEMBL820,HT29,C4349,C0338106
allopurinol,CHEMBL1467,IMIQUIMOD,CHEMBL1282,HT29,C4349,C0338106
Nilotinib,CHEMBL255863,Vorinostat,CHEMBL98,MCF7,C4194,C1134719
Sunitinib,CHEMBL535,thalidomide,CHEMBL468,MCF7,C4194,C1134719
hydroxyurea,CHEMBL467,Ixabepilone,CHEMBL1201752,HT29,C4349,C0338106
Imatinib,CHEMBL941,Sunitinib,CHEMBL535,MCF7,C4194,C1134719
Sorafenib,CHEMBL1336,methoxsalen,CHEMBL416,MCF7,C4194,C1134719
raloxifene,CHEMBL81,busulfan,CHEMBL820,HT29,C4349,C0338106
Romidepsin,CHEMBL343448,anastrozole,CHEMBL1399,MCF7,C4194,C1134719
letrozole,CHEMBL1444,Dasatinib,CHEMBL1421,MCF7,C4194,C1134719
7-Ethyl-10-hydroxycamptothecin,CHEMBL837,Vorinostat,CHEMBL98,MCF7,C4194,C1134719
celecoxib,CHEMBL118,Sorafenib,CHEMBL1336,HT29,C4349,C0338106
letrozole,CHEMBL1444,anastrozole,CHEMBL1399,HT29,C4349,C0338106
celecoxib,CHEMBL118,Ixabepilone,CHEMBL1201752,HT29,C4349,C0338106
7-Ethyl-10-hydroxycamptothecin,CHEMBL837,Ixabepilone,CHEMBL1201752,HT29,C4349,C0338106
busulfan,CHEMBL820,Bortezomib,CHEMBL325041,MCF7,C4194,C1134719
Imatinib,CHEMBL941,Lapatinib,CHEMBL554,MCF7,C4194,C1134719
temozolomide,CHEMBL810,busulfan,CHEMBL820,HT29,C4349,C0338106
Nilotinib,CHEMBL255863,7-Ethyl-10-hydroxycamptothecin,CHEMBL837,MCF7,C4194,C1134719
celecoxib,CHEMBL118,6-Mercaptopurine,CHEMBL1425,HT29,C4349,C0338106
Nilotinib,CHEMBL255863,ifosfamide,CHEMBL1024,MCF7,C4194,C1134719
6-Thioguanine,CHEMBL727,Dasatinib,CHEMBL1421,MCF7,C4194,C1134719
anastrozole,CHEMBL1399,Romidepsin,CHEMBL343448,HT29,C4349,C0338106
